,pred,truth
0,4.5913134,5.0
1,4.5913134,5.0
2,4.5913134,5.0
3,3.0724528,1.0
4,3.0724528,1.0
5,3.0724528,1.0
6,4.2676797,4.0
7,4.2676797,3.0
8,4.2676797,3.0
9,4.0430593,5.0
10,4.0430593,5.0
11,4.0430593,5.0
12,2.5815964,2.0
13,2.5815964,4.0
14,2.5815964,4.0
15,4.515001,5.0
16,4.515001,5.0
17,4.515001,5.0
18,4.4883246,5.0
19,4.4883246,3.0
20,4.4883246,3.0
21,4.2037053,5.0
22,4.2037053,5.0
23,4.2037053,5.0
24,3.748286,5.0
25,3.748286,4.0
26,3.748286,5.0
27,4.6632485,5.0
28,4.6632485,5.0
29,4.6632485,5.0
30,4.3435206,5.0
31,4.3435206,5.0
32,4.3435206,5.0
33,4.099279,5.0
34,4.099279,4.0
35,4.099279,5.0
36,2.866654,4.0
37,2.866654,2.0
38,2.866654,5.0
39,3.688156,5.0
40,3.688156,5.0
41,3.688156,5.0
42,4.317606,4.0
43,4.317606,5.0
44,4.317606,5.0
45,2.6864078,4.0
46,2.6864078,2.0
47,2.6864078,3.0
48,4.5932207,5.0
49,4.5932207,5.0
50,4.5932207,5.0
51,3.81789,4.0
52,3.81789,4.0
53,3.81789,5.0
54,4.170392,5.0
55,4.170392,5.0
56,4.170392,5.0
57,2.6627977,1.0
58,2.6627977,1.0
59,2.6627977,4.0
60,3.7973988,4.0
61,3.7973988,5.0
62,3.7973988,5.0
63,4.0992875,5.0
64,4.0992875,5.0
65,4.0992875,5.0
66,4.296064,5.0
67,4.296064,3.0
68,4.296064,5.0
69,2.9369202,4.0
70,2.9369202,4.0
71,2.9369202,4.0
72,3.5022798,4.0
73,3.5022798,4.0
74,3.5022798,4.0
75,3.2344217,1.0
76,3.2344217,2.0
77,3.2344217,3.0
78,3.7989364,3.0
79,3.7989364,1.0
80,3.7989364,4.0
81,4.2343774,5.0
82,4.2343774,5.0
83,4.2343774,5.0
84,4.5585513,5.0
85,4.5585513,5.0
86,4.5585513,5.0
87,3.0075095,4.0
88,3.0075095,2.0
89,3.0075095,4.0
90,4.112608,5.0
91,4.112608,3.0
92,4.112608,3.0
93,3.191725,4.0
94,3.191725,4.0
95,3.191725,4.0
96,3.1002152,3.0
97,3.1002152,4.0
98,3.1002152,4.0
99,4.111167,4.0
100,4.111167,4.0
101,4.111167,5.0
102,2.5007045,1.0
103,2.5007045,1.0
104,2.5007045,1.0
105,3.8143075,4.0
106,3.8143075,4.0
107,3.8143075,5.0
108,4.4254417,5.0
109,4.4254417,5.0
110,4.4254417,5.0
111,4.0883923,5.0
112,4.0883923,5.0
113,4.0883923,5.0
114,4.6570206,5.0
115,4.6570206,5.0
116,4.6570206,5.0
117,3.6203766,1.0
118,3.6203766,4.0
119,3.6203766,4.0
120,4.3078585,5.0
121,4.3078585,5.0
122,4.3078585,5.0
123,3.2049172,1.0
124,3.2049172,2.0
125,3.2049172,4.0
126,3.6831005,4.0
127,3.6831005,3.0
128,3.6831005,5.0
129,2.208785,1.0
130,2.208785,2.0
131,2.208785,1.0
132,3.2289424,3.0
133,3.2289424,4.0
134,3.2289424,5.0
135,4.5415697,5.0
136,4.5415697,5.0
137,4.5415697,5.0
138,3.2360065,4.0
139,3.2360065,4.0
140,3.2360065,5.0
141,4.389378,5.0
142,4.389378,5.0
143,4.389378,5.0
144,3.2571318,4.0
145,3.2571318,4.0
146,3.2571318,4.0
147,4.598332,5.0
148,4.598332,5.0
149,4.598332,5.0
150,2.9764724,2.0
151,2.9764724,2.0
152,2.9764724,3.0
153,4.2685432,5.0
154,4.2685432,4.0
155,4.2685432,5.0
156,3.9293377,4.0
157,3.9293377,5.0
158,3.9293377,5.0
159,4.2368293,5.0
160,4.2368293,5.0
161,4.2368293,5.0
162,4.256966,5.0
163,4.256966,5.0
164,4.256966,5.0
165,2.9562957,4.0
166,2.9562957,4.0
167,2.9562957,4.0
168,4.2158484,5.0
169,4.2158484,5.0
170,4.2158484,5.0
171,4.379457,5.0
172,4.379457,5.0
173,4.379457,5.0
174,3.4201002,4.0
175,3.4201002,4.0
176,3.4201002,4.0
177,3.250305,3.0
178,3.250305,3.0
179,3.250305,5.0
180,4.3541512,5.0
181,4.3541512,4.0
182,4.3541512,5.0
183,4.0608926,3.0
184,4.0608926,4.0
185,3.3134046,1.0
186,3.3134046,1.0
187,4.0052814,3.0
188,4.0052814,4.0
189,4.096511,5.0
190,4.096511,3.0
191,3.2885742,4.0
192,3.2885742,4.0
193,3.8155377,2.0
194,3.8155377,5.0
195,4.1604133,1.0
196,4.1604133,3.0
197,3.906145,5.0
198,3.906145,4.0
199,4.1667714,5.0
200,4.1667714,5.0
201,4.086436,5.0
202,4.086436,5.0
203,4.127233,5.0
204,4.127233,5.0
205,3.8223302,5.0
206,3.8223302,4.0
207,3.679024,4.0
208,3.679024,3.0
209,3.2021186,3.0
210,3.2021186,3.0
211,4.5138683,3.0
212,4.5138683,5.0
213,4.4157567,5.0
214,4.4157567,5.0
215,3.352822,2.0
216,3.352822,3.0
217,4.1106505,1.0
218,4.1106505,3.0
219,3.622466,5.0
220,3.622466,4.0
221,3.5446022,4.0
222,3.5446022,3.0
223,4.317606,4.0
224,4.317606,3.0
225,3.7904077,3.0
226,3.7904077,3.0
227,4.4847074,5.0
228,4.4847074,5.0
229,3.2394032,2.0
230,3.2394032,3.0
231,3.8918555,4.0
232,3.8918555,3.0
233,4.326466,5.0
234,4.326466,5.0
235,3.6492445,4.0
236,3.6492445,3.0
237,3.646048,4.0
238,3.646048,4.0
239,3.7989364,4.0
240,3.7989364,4.0
241,4.0819087,5.0
242,4.0819087,5.0
243,4.197669,4.0
244,4.197669,4.0
245,4.3082657,5.0
246,4.3082657,5.0
247,3.29727,2.0
248,3.29727,4.0
249,4.400671,5.0
250,4.400671,5.0
251,4.1096306,5.0
252,4.1096306,4.0
253,3.6302302,2.0
254,3.6302302,3.0
255,4.357449,4.0
256,4.357449,5.0
257,4.3818345,5.0
258,4.3818345,5.0
259,2.657255,4.0
260,2.657255,4.0
261,4.0706286,5.0
262,4.0706286,4.0
263,3.149399,3.0
264,3.149399,3.0
265,4.4174495,5.0
266,4.4174495,5.0
267,4.237046,5.0
268,4.237046,4.0
269,3.166188,1.0
270,3.166188,3.0
271,3.6381938,4.0
272,3.6381938,3.0
273,3.595716,4.0
274,3.595716,4.0
275,4.434853,5.0
276,4.434853,5.0
277,3.9549396,5.0
278,3.9549396,4.0
279,3.7134104,4.0
280,3.7134104,3.0
281,4.3078585,5.0
282,4.3078585,5.0
283,3.5684872,5.0
284,3.5684872,4.0
285,3.1127558,3.0
286,3.1127558,3.0
287,3.0106332,2.0
288,3.0106332,3.0
289,4.008483,5.0
290,4.008483,4.0
291,4.4896235,4.0
292,4.4896235,5.0
293,4.6094704,5.0
294,4.6094704,5.0
295,3.7757518,4.0
296,3.7757518,3.0
297,4.108437,5.0
298,4.108437,4.0
299,4.2452335,5.0
300,4.2452335,5.0
301,3.736792,5.0
302,3.736792,4.0
303,4.3375106,5.0
304,4.3375106,5.0
305,3.8688114,5.0
306,3.8688114,4.0
307,3.9226656,2.0
308,3.9226656,1.0
309,3.9226656,2.0
310,3.5920844,5.0
311,3.5920844,5.0
312,3.5920844,5.0
313,3.7178407,5.0
314,3.7178407,4.0
315,3.7178407,5.0
316,4.323859,5.0
317,4.323859,4.0
318,4.323859,5.0
319,4.4972134,3.0
320,4.4972134,5.0
321,4.4972134,3.0
