,pred,truth
0,4.0619335,5.0
1,4.0619335,4.0
2,4.0619335,5.0
3,3.799825,5.0
4,3.799825,4.0
5,3.799825,5.0
6,4.4054356,5.0
7,4.4054356,5.0
8,4.4054356,3.0
9,3.2221386,5.0
10,3.2221386,4.0
11,3.2221386,5.0
12,3.5941963,3.0
13,3.5941963,2.0
14,3.5941963,3.0
15,4.411163,5.0
16,4.411163,5.0
17,4.411163,5.0
18,4.456139,5.0
19,4.456139,5.0
20,4.456139,5.0
21,3.352278,5.0
22,3.352278,4.0
23,3.352278,5.0
24,3.856455,5.0
25,3.856455,5.0
26,3.856455,5.0
27,3.938405,5.0
28,3.938405,5.0
29,3.938405,5.0
30,3.6004348,5.0
31,3.6004348,4.0
32,3.6004348,5.0
33,3.7185805,5.0
34,3.7185805,5.0
35,3.7185805,5.0
36,4.4723964,5.0
37,4.4723964,5.0
38,4.4723964,5.0
39,4.149144,5.0
40,4.149144,5.0
41,4.149144,5.0
42,4.033056,5.0
43,4.033056,5.0
44,4.033056,5.0
45,4.1184716,5.0
46,4.1184716,3.0
47,4.1184716,5.0
48,4.1558194,5.0
49,4.1558194,5.0
50,4.1558194,5.0
51,3.7984254,3.0
52,3.7984254,5.0
53,3.7984254,5.0
54,4.3934393,5.0
55,4.3934393,5.0
56,4.3934393,5.0
57,4.357688,4.0
58,4.357688,4.0
59,4.357688,5.0
60,4.3690314,5.0
61,4.3690314,4.0
62,4.3690314,5.0
63,2.8470585,5.0
64,2.8470585,5.0
65,2.8470585,5.0
66,3.217138,5.0
67,3.217138,4.0
68,3.217138,4.0
69,3.2128906,3.0
70,3.2128906,3.0
71,3.2128906,5.0
72,3.0527637,3.0
73,3.0527637,2.0
74,3.0527637,3.0
75,4.1778684,5.0
76,4.1778684,5.0
77,4.1778684,5.0
78,3.111635,5.0
79,3.111635,2.0
80,3.111635,3.0
81,4.2318892,5.0
82,4.2318892,5.0
83,4.2318892,5.0
84,4.4194984,5.0
85,4.4194984,5.0
86,4.4194984,5.0
87,4.47173,5.0
88,4.47173,5.0
89,4.47173,5.0
90,3.9867778,5.0
91,3.9867778,5.0
92,3.9867778,5.0
93,4.009618,5.0
94,4.009618,5.0
95,4.009618,5.0
96,4.4435086,5.0
97,4.4435086,5.0
98,4.4435086,5.0
99,4.3474526,5.0
100,4.3474526,5.0
101,4.3474526,5.0
102,3.4662445,5.0
103,3.4662445,5.0
104,3.4662445,5.0
105,3.4053144,5.0
106,3.4053144,3.0
107,3.4053144,5.0
108,3.2072172,5.0
109,3.2072172,5.0
110,3.2072172,5.0
111,2.817986,2.0
112,2.817986,2.0
113,2.817986,2.0
114,4.447851,5.0
115,4.447851,5.0
116,4.447851,5.0
117,4.3135853,5.0
118,4.3135853,5.0
119,4.3135853,5.0
120,4.238639,5.0
121,4.238639,5.0
122,4.238639,5.0
123,4.3961964,5.0
124,4.3961964,5.0
125,4.3961964,5.0
126,2.94048,5.0
127,2.94048,5.0
128,2.94048,5.0
129,4.4934287,5.0
130,4.4934287,5.0
131,4.4934287,5.0
132,4.2822995,5.0
133,4.2822995,5.0
134,4.2822995,5.0
135,4.374025,5.0
136,4.374025,5.0
137,4.374025,5.0
138,3.8656037,5.0
139,3.8656037,5.0
140,3.8656037,5.0
141,3.8500316,5.0
142,3.8500316,5.0
143,3.8500316,5.0
144,3.529921,5.0
145,3.529921,5.0
146,3.529921,5.0
147,3.5770614,5.0
148,3.5770614,4.0
149,3.5770614,5.0
150,3.2378106,5.0
151,3.2378106,5.0
152,3.2378106,5.0
153,3.6277385,3.0
154,3.6277385,3.0
155,3.6277385,3.0
156,3.999528,5.0
157,3.999528,5.0
158,3.999528,5.0
159,4.528716,5.0
160,4.528716,5.0
161,4.528716,5.0
162,4.3656244,5.0
163,4.3656244,5.0
164,4.3656244,5.0
165,3.3113046,5.0
166,3.3113046,3.0
167,3.3113046,5.0
168,4.4477563,5.0
169,4.4477563,5.0
170,4.4477563,5.0
171,4.5199547,5.0
172,4.5199547,3.0
173,4.5199547,5.0
174,4.325819,5.0
175,4.325819,3.0
176,4.325819,5.0
177,4.1012106,5.0
178,4.1012106,4.0
179,4.1012106,5.0
180,4.2970753,5.0
181,4.2970753,2.0
182,4.2970753,3.0
183,3.2166314,3.0
184,3.2166314,3.0
185,3.2166314,4.0
186,2.6265986,3.0
187,2.6265986,3.0
188,2.6265986,4.0
189,3.915145,5.0
190,3.915145,4.0
191,3.915145,5.0
192,4.30913,5.0
193,4.30913,5.0
194,4.30913,5.0
195,2.678112,2.0
196,2.678112,1.0
197,2.678112,3.0
198,3.6683855,5.0
199,3.6683855,5.0
200,3.6683855,5.0
201,3.8525817,4.0
202,3.8525817,4.0
203,3.8525817,3.0
204,4.6271863,5.0
205,4.6271863,5.0
206,4.6271863,5.0
