,pred,truth
0,3.5625908,4.0
1,3.5625908,2.0
2,3.5625908,4.0
3,3.984463,3.0
4,3.984463,3.0
5,3.984463,3.0
6,4.2772865,4.0
7,4.2772865,2.0
8,4.2772865,4.0
9,4.1434946,4.0
10,4.1434946,3.0
11,4.1434946,4.0
12,4.7955956,4.0
13,4.7955956,3.0
14,4.7955956,4.0
15,4.6579876,4.0
16,4.6579876,3.0
17,4.6579876,4.0
18,4.606158,4.0
19,4.606158,4.0
20,4.606158,4.0
21,4.361233,5.0
22,4.361233,4.0
23,4.361233,4.0
24,4.065519,5.0
25,4.065519,4.0
26,4.065519,4.0
27,4.7324057,4.0
28,4.7324057,3.0
29,4.7324057,4.0
30,4.0382814,4.0
31,4.0382814,2.0
32,4.0382814,4.0
33,4.0375156,4.0
34,4.0375156,3.0
35,4.0375156,4.0
36,4.14673,2.0
37,4.14673,3.0
38,4.14673,4.0
39,4.5970397,4.0
40,4.5970397,4.0
41,4.5970397,4.0
42,3.9718993,4.0
43,3.9718993,4.0
44,3.9718993,4.0
45,4.503364,5.0
46,4.503364,4.0
47,4.503364,4.0
48,3.959306,4.0
49,3.959306,4.0
50,3.959306,4.0
51,3.510443,4.0
52,3.510443,3.0
53,3.510443,3.0
54,4.3181887,5.0
55,4.3181887,3.0
56,4.3181887,4.0
57,3.3721962,3.0
58,3.3721962,3.0
59,3.3721962,4.0
60,4.821609,4.0
61,4.821609,4.0
62,4.821609,4.0
63,3.230756,3.0
64,3.230756,4.0
65,3.230756,4.0
66,3.2206905,3.0
67,3.2206905,2.0
68,3.2206905,3.0
69,3.4618568,3.0
70,3.4618568,2.0
71,3.4618568,4.0
72,4.2083125,5.0
73,4.2083125,5.0
74,4.2083125,4.0
75,3.136091,3.0
76,3.136091,3.0
77,3.136091,4.0
78,4.2261777,4.0
79,4.2261777,3.0
80,4.2261777,4.0
81,3.0755668,3.0
82,3.0755668,3.0
83,3.0755668,4.0
84,4.457619,3.0
85,4.457619,4.0
86,4.457619,4.0
87,4.106735,4.0
88,4.106735,3.0
89,4.106735,4.0
90,2.6198373,2.0
91,2.6198373,1.0
92,2.6198373,3.0
93,2.4582002,3.0
94,2.4582002,1.0
95,2.4582002,1.0
96,3.3921502,3.0
97,3.3921502,2.0
98,3.3921502,3.0
99,3.5179582,3.0
100,3.5179582,2.0
101,3.5179582,3.0
102,3.2545135,3.0
103,3.2545135,2.0
104,3.2545135,3.0
105,3.861848,3.0
106,3.861848,3.0
107,3.861848,4.0
108,4.131803,4.0
109,4.131803,2.0
110,4.131803,4.0
111,2.2043898,3.0
112,2.2043898,1.0
113,2.2043898,4.0
114,3.66394,3.0
115,3.66394,3.0
116,3.66394,3.0
117,3.1503723,3.0
118,3.1503723,2.0
119,3.1503723,3.0
120,2.8006892,3.0
121,2.8006892,2.0
122,2.8006892,2.0
123,3.9051223,4.0
124,3.9051223,2.0
125,3.9051223,3.0
126,3.9171722,2.0
127,3.9171722,3.0
128,3.9171722,4.0
129,4.6343136,4.0
130,4.6343136,4.0
131,4.6343136,4.0
132,4.1289682,3.0
133,4.1289682,3.0
134,4.1289682,4.0
135,3.9752433,4.0
136,3.9752433,3.0
137,3.9752433,4.0
138,3.273125,3.0
139,3.273125,2.0
140,3.273125,4.0
141,3.6783073,3.0
142,3.6783073,2.0
143,3.6783073,3.0
144,4.232182,3.0
145,4.232182,4.0
146,4.232182,4.0
147,3.1417654,3.0
148,3.1417654,3.0
149,3.1417654,4.0
150,4.7236066,4.0
151,4.7236066,3.0
152,4.7236066,4.0
153,3.230246,4.0
154,3.230246,2.0
155,3.230246,3.0
